Ins1	Rot1	Ins2	Rot2	Ins3	Rot3	X	Y	Z
0	-90	0	-90	0	-90	-1.0000000000000002	1.3846637396788767e-21	0.5155555555555558
0	-90	0	-90	0	-45	-1.0000000000000002	1.1077309917431013e-21	0.6124444444444447
0	-90	0	-90	0	0	-1.0000000000000002	8.86184793394481e-22	0.6899555555555558
0	-90	0	-90	0	45	-1.0000000000000002	7.089478347155847e-22	0.7519644444444447
0	-90	0	-90	0	90	-1.0000000000000002	5.671582677724678e-22	0.8015715555555558
0	-90	0	-90	40	-90	-1.3552172861058418	-1.1776552239136422	8.936461183991035
0	-90	0	-90	40	-45	-0.6079062696284578	-2.0829482093044174	15.391446334624705
0	-90	0	-90	40	0	0.5029330957374949	-1.8843378267695088	20.61389527127605
0	-90	0	-90	40	45	0.9298315011427946	-0.8301263929819274	25.138988765627538
0	-90	0	-90	40	90	0.21229868018438858	0.11217656374060869	28.66405591210944
0	-90	0	-90	80	-90	-0.9588056590652515	-1.5799970544619342	39.81437840966629
0	-90	0	-90	80	-45	0.01889573673294287	-2.9022552272782947	48.48174716033496
0	-90	0	-90	80	0	1.7474521357957706	-2.2347279241861586	55.515264172941485
0	-90	0	-90	80	45	2.199020524968095	0.07089844574857862	61.398129489265216
0	-90	0	-90	80	90	0.622486295431887	2.0417676406148684	66.21556523024444
0	-90	0	-90	120	-90	-0.3332885347579919	-0.5083754102979934	78.29885521245319
0	-90	0	-90	120	-45	0.8124806940590592	-2.4855254931708513	87.7056322625609
0	-90	0	-90	120	0	2.6627532766133513	-2.288038293529181	95.25619671906254
0	-90	0	-90	120	45	3.1649670870134456	-0.30219430350548415	101.50345930317383
0	-90	0	-90	120	90	1.5666998226736657	1.457117322121327	106.62891673896998
0	-90	0	-90	160	-90	0.5442495000378202	-1.2628234973774684	118.99226278156331
0	-90	0	-90	160	-45	1.657067076350289	-3.32046314233049	128.60634032096272
0	-90	0	-90	160	0	3.48037536503571	-3.104451206174464	136.2741811468761
0	-90	0	-90	160	45	3.9078752112950252	-1.0273919150140358	142.55757489148525
0	-90	0	-90	160	90	2.163835287357427	0.8403742085995356	147.66810344450818
0	-90	0	-90	200	-90	0.9813571153318408	-1.830115909246115	160.03165488929847
0	-90	0	-90	200	-45	2.017505949533753	-3.800900646567295	169.61774002245906
0	-90	0	-90	200	0	3.798989043432206	-3.449232511939582	177.20660428245824
0	-90	0	-90	200	45	4.156021449263967	-1.2243405053387506	183.35409275401327
0	-90	0	-90	200	90	2.298200819336957	0.7528889470339628	188.30993172034022
0	-90	0	-90	240	-90	0.7671532260874769	-1.4671074761644634	192.1769523374571
0	-90	0	-90	240	-45	1.6026612299104837	-3.101167124699069	194.95530090144283
0	-90	0	-90	240	0	3.2715197844375137	-2.501395329663331	197.0578963798068
0	-90	0	-90	240	45	3.552584623038592	-0.12356767145047431	198.7657750716656
0	-90	0	-90	240	90	1.6430367807308652	1.9062744682371906	200.14879913405406
0	-90	0	-45	0	-90	-0.9999999997315936	-3.502323320242349e-10	0.6522316106861835
0	-90	0	-45	0	-45	-0.9999999997852749	-2.801858656193879e-10	0.7217852885489469
0	-90	0	-45	0	0	-0.9999999998282199	-2.241486924955103e-10	0.7774282308391576
0	-90	0	-45	0	45	-0.9999999998625758	-1.7931895399640824e-10	0.8219425846713261
0	-90	0	-45	0	90	-0.9999999998900606	-1.434551631971266e-10	0.8575540677370609
0	-90	0	-45	40	-90	-1.3554392704481848	-1.17737286326461	8.981244982753918
0	-90	0	-45	40	-45	-0.6082290826458369	-2.0824329041366396	15.4272701925542
0	-90	0	-45	40	0	0.5025519627572698	-1.8835894182242778	20.642548610318972
0	-90	0	-45	40	45	0.9293545474370488	-0.8291533580516282	25.161901910527575
0	-90	0	-45	40	90	0.21167736136994852	0.11332005588422922	28.682371120779308
0	-90	0	-45	80	-90	-0.9596699180066204	-1.5786387081641169	39.82900660683249
0	-90	0	-45	80	-45	0.017949727714346775	-2.9007186103808746	48.493429236023374
0	-90	0	-45	80	0	1.746482941496452	-2.2329920446603277	55.52458842463967
0	-90	0	-45	80	45	2.1979823707610446	0.0728345419427936	61.405559720378804
0	-90	0	-45	80	90	0.6213147520070199	2.0438337038624237	66.22147246686616
0	-90	0	-45	120	-90	-0.3344694678430794	-0.5064905610222983	78.30353651135466
0	-90	0	-45	120	-45	0.8113924758311278	-2.483783584802202	87.70933568307227
0	-90	0	-45	120	0	2.661778042257692	-2.286365327545325	95.25910883804386
0	-90	0	-45	120	45	3.1640457604534347	-0.3005481219806947	101.50571587903482
0	-90	0	-45	120	90	1.565767890437217	1.4587087889147945	106.63063132840738
0	-90	0	-45	160	-90	0.5433619233582807	-1.26144600923381	118.9935713405736
0	-90	0	-45	160	-45	1.6562890811517221	-3.3192604826370937	128.60733719735413
0	-90	0	-45	160	0	3.4797123109609718	-3.103360777287591	136.27491929881884
0	-90	0	-45	160	45	3.907283112351238	-1.0263794034128901	142.55808022521637
0	-90	0	-45	160	90	2.1632732341240386	0.8412969831353374	147.66841114126098
0	-90	0	-45	200	-90	0.980849947771413	-1.8293514314448887	160.0318573725996
0	-90	0	-45	200	-45	2.0170800922856267	-3.8002623289641226	169.61787748497738
0	-90	0	-45	200	0	3.798639990893206	-3.448682271671694	177.2066818127155
0	-90	0	-45	200	45	4.155723421934351	-1.2238561987905214	183.35410212626957
0	-90	0	-45	200	90	2.2979342540429952	0.7533083675609487	188.30988255218574
0	-90	0	-45	240	-90	0.7669221435478495	-1.4667650159144963	192.17690184815473
0	-90	0	-45	240	-45	1.6024704190972026	-3.1008840542788914	194.9552611739272
0	-90	0	-45	240	0	3.271363450599395	-2.5011564627620824	197.05785795841118
0	-90	0	-45	240	45	3.5524532349348976	-0.12336236572690185	198.76572526475616
0	-90	0	-45	240	90	1.6429232864408005	1.9064488533906614	200.1487385009605
