Ins1	Rot1	Ins2	Rot2	Ins3	Rot3	X	Y	Z
0	-90	0	-90	0	-90	-1.0000000069259223	1.1814808662486906e-08	0.9911111109096712
0	-90	0	-90	0	-45	-1.0000000055407379	9.451846929989526e-09	0.992888888727737
0	-90	0	-90	0	0	-1.0000000044325903	7.561477543991621e-09	0.9943111109821896
0	-90	0	-90	0	45	-1.000000003546072	6.049182035193297e-09	0.9954488887857518
0	-90	0	-90	0	90	-1.0000000028368576	4.839345628154638e-09	0.9963591110286014
0	-90	0	-90	40	-90	-1.5961724647792161	-1.658923726701978	9.070912248023337
0	-90	0	-90	40	-45	-0.5234767299413556	-2.930254980665593	15.438285144273646
0	-90	0	-90	40	0	1.1047367740442777	-2.5648275091380848	20.634706087071574
0	-90	0	-90	40	45	1.7572589361944733	-0.996181172405616	25.46502651147961
0	-90	0	-90	40	90	0.6676649680941917	0.4575986959803129	29.13540246861537
0	-90	0	-90	80	-90	-1.0155669450296605	-2.2042049910214905	40.28648641137705
0	-90	0	-90	80	-45	0.5044428671347265	-4.279776842435805	48.70248986760717
0	-90	0	-90	80	0	3.1377161793276933	-3.347961704484316	55.6140913467392
0	-90	0	-90	80	45	3.8562234896477445	0.0459085386089253	61.62260593701883
0	-90	0	-90	80	90	1.5238491427015721	2.9488716029772966	66.63131847383423
0	-90	0	-90	120	-90	-0.013831648978578137	-0.6826139222583891	78.78283715090473
0	-90	0	-90	120	-45	1.618229993850557	-3.5074751055277233	87.98170065705044
0	-90	0	-90	120	0	4.330505325022037	-3.1088211035937348	95.36029988019098
0	-90	0	-90	120	45	5.046811592501871	-0.07723689949031964	101.64657088385962
0	-90	0	-90	120	90	2.64244420071143	2.578700078032237	106.93557474377288
0	-90	0	-90	160	-90	0.9895959638422438	-1.2789719111950224	119.41025115794025
0	-90	0	-90	160	-45	2.574031004380907	-4.231344370599109	128.8503218390359
0	-90	0	-90	160	0	5.261582650697043	-3.836861740517965	136.3477633464066
0	-90	0	-90	160	45	5.893474825475645	-0.7165361054593125	142.65303762086796
0	-90	0	-90	160	90	3.307031250184957	2.045040447166451	147.91875760778777
0	-90	0	-45	0	-90	-0.9999999996679149	-3.9382382517899193e-10	0.7187646716180393
0	-90	0	-45	0	-45	-0.9999999997343318	-3.1505906014319354e-10	0.7750117372944314
0	-90	0	-45	0	0	-0.9999999997874655	-2.5204724811455483e-10	0.8200093898355452
0	-90	0	-45	0	45	-0.9999999998299723	-2.0163779849164387e-10	0.8560075118684362
0	-90	0	-45	0	90	-0.9999999998639778	-1.613102387933151e-10	0.884806009494749
0	-90	0	-45	40	-90	-1.5957063366812165	-1.659430924372556	8.981675077734698
0	-90	0	-45	40	-45	-0.5228650678486184	-2.9311907100042482	15.366900772958278
0	-90	0	-45	40	0	1.1054009468339827	-2.5662494955107813	20.57760970742552
0	-90	0	-45	40	45	1.7581168917702974	-0.9981080462430536	25.419367989341886
0	-90	0	-45	40	90	0.6688791814757151	0.4552879312504954	29.098907707948335
0	-90	0	-45	80	-90	-1.013809484480233	-2.2068500296994413	40.257336753492616
0	-90	0	-45	80	-45	0.5063062038548067	-4.282720997105898	48.67920501229831
0	-90	0	-45	80	0	3.139548261113378	-3.351329257289822	55.59550011960621
0	-90	0	-45	80	45	3.8581915393504578	0.042062106788340436	61.607791602918134
0	-90	0	-45	80	90	1.5261715087607892	2.94471316381636	66.61954614178113
0	-90	0	-45	120	-90	-0.011432396188670868	-0.6863168931144412	78.77349693772197
0	-90	0	-45	120	-45	1.620402174947026	-3.5108401413038854	87.97429469313272
0	-90	0	-45	120	0	4.33239226493116	-3.1120705634351955	95.35446250010263
0	-90	0	-45	120	45	5.048593070117221	-0.08050009072421727	101.64205027036286
0	-90	0	-45	120	90	2.6443166118800256	2.5755035857737836	106.93215581926833
0	-90	0	-45	160	-90	0.9914188395608501	-1.2816729518092411	119.4076234901388
0	-90	0	-45	160	-45	2.57560602919298	-4.233660065091957	128.84829089867992
0	-90	0	-45	160	0	5.262888787451066	-3.83897020312694	136.3462379038735
0	-90	0	-45	160	45	5.894642488223947	-0.7185356864495498	142.65199674137946
0	-90	0	-45	160	90	3.30817985185198	2.043193573075349	147.9181445369681
0	-90	0	0	0	-90	-0.9999999996300883	-4.3450574945161195e-10	0.7177357758596365
0	-90	0	0	0	-45	-0.9999999997040706	-3.4760459956128955e-10	0.7741886206877093
0	-90	0	0	0	0	-0.9999999997632565	-2.7808367964903165e-10	0.8193508965501675
0	-90	0	0	0	45	-0.9999999998106052	-2.2246694371922533e-10	0.855480717240134
0	-90	0	0	0	90	-0.9999999998484841	-1.7797355497538026e-10	0.8843845737921072
0	-90	0	0	40	-90	-1.595704776018695	-1.6594326206336203	8.981337956600603
0	-90	0	0	40	-45	-0.522862972082961	-2.9311941381475455	15.366631101503831
0	-90	0	0	40	0	1.1054031758072658	-2.5662547008648326	20.57739402758619
0	-90	0	0	40	45	1.7581197762131218	-0.9981151004498381	25.419195494658673
0	-90	0	0	40	90	0.668883358788759	0.45527946448161805	29.098769789649303
0	-90	0	0	80	-90	-1.013803438531755	-2.206859525974992	40.25722659716633
