Ins1	Rot1	Ins2	Rot2	Ins3	Rot3	X	Y	Z
0	-90	0	-90	0	-90	-1.0000000000000002	6.6902261898842925e-40	0.9911111111111112
0	-90	0	-90	0	-45	-1.0000000000000002	5.352180951907433e-40	0.9928888888888889
0	-90	0	-90	0	0	-1.0000000000000002	4.281744761525947e-40	0.9943111111111111
0	-90	0	-90	0	45	-1.0000000000000002	3.4253958092207575e-40	0.9954488888888889
0	-90	0	-90	0	90	-1.0000000000000002	2.740316647376606e-40	0.9963591111111112
0	-90	0	-90	40	-90	-1.4520625031929244	-1.36957360747052	9.08373616805479
0	-90	0	-90	40	-45	-0.574909356295084	-2.4209577336915755	15.485999121418644
0	-90	0	-90	40	0	0.7427501680835693	-2.1551656086276174	20.68270763140213
0	-90	0	-90	40	45	1.2558522157504433	-0.8884151553287285	25.30935905013041
0	-90	0	-90	40	90	0.3879847999254936	0.25897079348698315	28.876471077828892
0	-90	0	-90	80	-90	-0.9879561262521112	-1.821801951154385	40.01852278611151
0	-90	0	-90	80	-45	0.2073282048574966	-3.4465749560338983	48.58724791235737
0	-90	0	-90	80	0	2.2988158807653227	-2.6742102340819627	55.570913563816546
0	-90	0	-90	80	45	2.8566694755248547	0.06760602459084719	61.49560068719826
0	-90	0	-90	80	90	0.976828982678227	2.412259311351825	66.37996175421527
0	-90	0	-90	120	-90	-0.21244270335397042	-0.5716641181011322	78.4834358499444
0	-90	0	-90	120	-45	1.128720309845672	-2.888941790305565	87.8113263497415
0	-90	0	-90	120	0	3.325168296834198	-2.612321446865053	95.29802540025526
0	-90	0	-90	120	45	3.913728519220769	-0.20791825680873366	101.55950984871346
0	-90	0	-90	120	90	1.9921461943030327	1.9106178449683524	106.7445599650284
0	-90	0	-90	160	-90	0.7168208828647249	-1.2658166422241708	119.14485121054938
0	-90	0	-90	160	-45	2.0192240911146127	-3.681962224865582	128.69379424830254
0	-90	0	-90	160	0	4.189582118529687	-3.395446565677113	136.29997221351965
0	-90	0	-90	160	45	4.69945317636195	-0.9006658660223374	142.59257836685205
0	-90	0	-90	160	90	2.6173735845746466	1.3250981723367534	147.76016756853517
0	-90	0	-90	200	-90	1.1660241603439823	-1.818653992848394	160.17331266744597
0	-90	0	-90	200	-45	2.392605595619239	-4.15846217388877	169.7045877563479
0	-90	0	-90	200	0	4.528038393730977	-3.7361452063945615	177.23452455193214
0	-90	0	-90	200	45	4.967182148595735	-1.0881210850371796	183.38526742741095
0	-90	0	-90	200	90	2.7606184905234357	1.2491744600485606	188.39180149709554
0	-90	0	-45	0	-90	-0.9999999996853256	-4.115118912295655e-10	0.6687976970459978
0	-90	0	-45	0	-45	-0.9999999997482605	-3.292095129836524e-10	0.7350381576367983
0	-90	0	-45	0	0	-0.9999999997986083	-2.633676103869219e-10	0.7880305261094387
0	-90	0	-45	0	45	-0.9999999998388867	-2.106940883095375e-10	0.830424420887551
0	-90	0	-45	0	90	-0.9999999998711093	-1.6855527064763e-10	0.8643395367100408
0	-90	0	-45	40	-90	-1.4515278638811293	-1.370213032253626	8.978126848198546
0	-90	0	-45	40	-45	-0.5741633469626559	-2.422129383195122	15.401519380324885
0	-90	0	-45	40	0	0.7436034070172881	-2.1568971929411593	20.615137891715108
0	-90	0	-45	40	45	1.2569323612632874	-0.8907038423713849	25.25532643403784
0	-90	0	-45	40	90	0.38943794853312186	0.25625928261405284	28.83328277351209
